date,source,acquirer,target,deal_type,upfront_m,milestone_m,total_m,drug_name,modality,therapeutic_area,stage,rationale,multiples,url,notes
2026-02-07,FierceBiotech,Johnson & Johnson,Ambrx Biopharma,acquisition,,2000,2000,ARX517,antibody-drug conjugate,Oncology,Phase 2,"J&J expands oncology pipeline with novel ADC technology platform, strengthening position in prostate cancer",,"https://www.fiercebiotech.com/biotech/jj-acquire-ambrx-biopharma-2b",
2026-02-06,Endpoints News,Novo Nordisk,Cardior Pharmaceuticals,licensing,55,1085,1140,CDR132L,RNA therapeutic,Cardiovascular,Phase 2,"Novo gains rights to heart failure RNA therapy, expanding beyond diabetes/obesity into cardiovascular disease",,"https://endpts.com/novo-nordisk-cardior-deal",
2026-02-06,BioPharma Dive,Bristol Myers Squibb,Vedanta Biosciences,licensing,75,525,600,VE303,microbiome therapeutic,Immunology,Phase 3,"BMS secures microbiome therapy for blood cancer complications, adds novel modality to transplant portfolio",,"https://www.biopharmadive.com/news/bms-vedanta-microbiome-deal",
2026-02-05,FierceBiotech,Eli Lilly,Sitryx Therapeutics,acquisition,510,,510,,small molecule,Immunology,Preclinical,"Lilly acquires immunometabolism platform to discover next-gen therapies targeting cellular metabolism pathways",,"https://www.fiercebiotech.com/biotech/lilly-acquire-sitryx-510m",
2026-02-04,Endpoints News,Roche,Dyno Therapeutics,partnership,100,1200,1300,,AAV gene therapy,Neurology,Preclinical,"Roche partners on AI-designed AAV capsids for CNS gene therapies, leveraging Dyno's machine learning platform",,"https://endpts.com/roche-dyno-gene-therapy-deal",
2026-02-03,BioPharma Dive,AbbVie,Umoja Biopharma,partnership,75,800,875,UNMC-001,cell therapy,Oncology,Phase 1,"AbbVie gains access to in vivo CAR-T platform, aiming to overcome manufacturing challenges of ex vivo cell therapy",,"https://www.biopharmadive.com/news/abbvie-umoja-car-t-deal",
2026-02-01,FierceBiotech,Merck,Kelun Biotech,licensing,800,6400,7200,SKB264,ADC,Oncology,Phase 3,"Merck secures ex-China rights to TROP2 ADC, bolstering oncology pipeline with late-stage asset in high-value indication",,"https://www.fiercebiotech.com/biotech/merck-kelun-adc-deal",
2026-01-31,Endpoints News,Pfizer,Beam Therapeutics,partnership,300,1400,1700,,base editing,Rare Disease,Preclinical,"Pfizer partners on base editing therapies for rare genetic diseases, adding precision gene editing to R&D toolkit",,"https://endpts.com/pfizer-beam-base-editing",
2026-01-30,BioPharma Dive,Gilead Sciences,Tubulis,partnership,20,880,900,,ADC platform,Oncology,Preclinical,"Gilead licenses novel ADC linker technology to enhance its oncology pipeline with improved therapeutic index",,"https://www.biopharmadive.com/news/gilead-tubulis-adc-deal",
2026-01-29,FierceBiotech,AstraZeneca,Gracell Biotechnologies,licensing,100,700,800,GC012F,cell therapy,Oncology,Phase 2,"AstraZeneca gains fast CAR-T technology for solid tumors, expanding cell therapy capabilities beyond hematology",,"https://www.fiercebiotech.com/biotech/az-gracell-car-t-deal",
